source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020413.xml,865.5,it falled fell out,,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020503.xml,886,all full filled upped up,,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020804.xml,978.5,it wa it was broked broken off,,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/030221.xml,1177.75,he sleeped slept,,
