corpus,experimental_file,experimental_utterance,responder,experimental_response,experimental_start_time_minutes,experimental_past_tense,experimental_plural,experimental_elan_coded,experimental_age_years,experimental_length,experimental_utt_num,experimental_response_time,experimental_age_months,control_length,control_age_months,control_utterance,control_response,control_response_time,speaker,control_start_time_minutes,control_age,control_past_tense,control_plural,control_file,diff
emily,020606,he drinked it all,CAR,he drinked it all,38.5225,TRUE,FALSE,TRUE,2.517453798767967,4,1,520,30,4,30,from the mail box,yeah,0,CHI,3.566866666666667,933.5,FALSE,FALSE,020620,0
emily,020704,the scrap book falled in the water,CAR,yeah,11.81675,TRUE,FALSE,TRUE,2.595482546201232,7,1,190,31,7,31,we were throwin up the bread in,you were throwing the bread and what else,0,CHI,23.24073333333333,962,FALSE,FALSE,020718,0
emily,020704,the scrap book falled in the water,CAR,yeah,11.81675,TRUE,FALSE,TRUE,2.595482546201232,7,1,190,31,7,31,I don't wanna take that on there,you hafta take it on the boat so you don't sink,0,CHI,16.116933333333332,962,FALSE,FALSE,020718,0
emily,020704,the scrap book falled in the water,CAR,yeah,11.81675,TRUE,FALSE,TRUE,2.595482546201232,7,1,190,31,7,31,I put the balloons on this si,what are balloons for,0,CHI,2.8640833333333333,962,FALSE,FALSE,020718,0
emily,020704,the phone run runned on,CAR,the answering machine,25.86203333,TRUE,FALSE,TRUE,2.595482546201232,5,2,1040,31,5,31,and Jessie's afraid of bugs,how come you can swim in water if you're afraid of it,0,CHI,24.4383,948,FALSE,FALSE,020704,0
emily,020704,the phone run runned on,CAR,the answering machine,25.86203333,TRUE,FALSE,TRUE,2.595482546201232,5,2,1040,31,5,31,um there was some names,yeah,0,CHI,3.965133333333333,973,FALSE,FALSE,020729,0
emily,020704,the phone run runned on,CAR,the answering machine,25.86203333,TRUE,FALSE,TRUE,2.595482546201232,5,2,1040,31,5,31,I hop on one foot,come here,0,CHI,28.757216666666668,948,FALSE,FALSE,020704,0
emily,020704,I drawed with him,CAR,what'd you draw,29.15705,TRUE,FALSE,TRUE,2.595482546201232,4,3,700,31,4,31,he's holding me up,yeah,0,CHI,10.325216666666668,962,FALSE,FALSE,020718,0
emily,020704,I drawed with him,CAR,what'd you draw,29.15705,TRUE,FALSE,TRUE,2.595482546201232,4,3,700,31,4,31,this is my notebook,who is this,0,CHI,6.712483333333334,973,FALSE,FALSE,020729,0
emily,020704,I drawed with him,CAR,what'd you draw,29.15705,TRUE,FALSE,TRUE,2.595482546201232,4,3,700,31,4,31,she hadta go pee,no what happened with Mommy's boat not with Mommy,0,CHI,22.312783333333336,962,FALSE,FALSE,020718,0
