source_file,age,utterance,responder,response,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Sachs/020909.xml,1014,yester morning I maked a tiger,MOT,you did,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,you getted the blister out,MOT,yeah I didn't take that one out did I,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,I writed a,MOT,well somebody in the store made that circle around that color honey,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,somebody writed more,MOT,mhm,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/030327.xml,1214.25,and one two mean mans,FAT,two mean mans and one mean lady,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/030507.xml,1255.25,and those are two baby mouses,MOT,mhm,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Sachs/040728.xml,1702.5,I bented my belly,FAT,you did what,0,0,,
/content/drive/My Drive/childes/Eng-NA/Sachs/040728.xml,1702.5,I bented my belly,FAT,oh,0,0,,
