source_file,age,utterance,responder,response,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040718.xml,1692.5,I decided to in the crunchy socks,INV,oh in the crunchy snow in your socks,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,so it's ate the whole log cabin too,MOT,he ate the whole log cabin house,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,poor hat um Abraham_Lincoln's ate house,MOT,ate house,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,I just wanna write Abraham_L ate house,MOT,ate house,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,aten house,MOT,eaten,0,0,,
