Begin Time - msec	End Time - msec	child_error_utterance	parent_error_response	child_control_utterance	parent_control_response
189950	191310			control	
191752	192590				response
655690	660800			control	
661010	661580				response
1703261	1704870	error			
1709390	1711930		response		
1801650	1804990	error			
1805420	1806830		response		

