Begin Time - msec	End Time - msec	child_error_utterance	parent_error_response	child_control_utterance	parent_control_response
8480	13780			control	
14990	16490				response
87009	87989	error			
88504	89910		response		
157200	159020			control	
159205	160880				response
236040	238360	error			
238980	239640		response		
248140	249890	error			
250260	252630		response		
423700	424840			control	
424940	425520				response
485740	489830	error			
490610	491090		response		
531190	539360	error			
539820	540590		response		
644150	645370			control	
645780	646290				response
864660	869410			control	
869530	870890				response
942790	944890			control	
945060	946020				response
1229560	1239050			control	
1239260	1239740				response
1263711	1266220	error			
1266480	1268190		response		
1290220	1291180	error			
1291530	1292100		response		
1467480	1472170			control	
1472230	1472730				response
1658840	1661350			control	
1661580	1662340				response
1681600	1685120			control	
1685205	1685790				response
1740650	1742590			control	
1744660	1745280				response
1793520	1795070			control	
1795310	1796170				response
1812160	1815970	error			
1816210	1817392		response		
1837350	1839870			control	
1839920	1840690				response

