Begin Time - msec	End Time - msec	child_error_utterance	parent_error_response	child_control_utterance	parent_control_response
268000	271780			control	
272140	273200				response
408580	412770			control	
412910	413780				response
1185910	1188390			control	
1188470	1189220				response
1869410	1877290	error			
1877750	1878310		response		

