source_file,age,utterance,responder,response,overreg_past,overreg_plural,start_time_minutes,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020413.xml,865.5,it falled out,MOT,it fall out,TRUE,FALSE,22.2559,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020503.xml,886,all full upped,RYA,what did you find,FALSE,FALSE,16.7633,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020804.xml,978.5,it wa it was broked off,RYA,it was broked off,TRUE,FALSE,22.5452667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/030221.xml,1177.75,he sleeped,MOT,and then what,TRUE,FALSE,20.00805,TRUE
