source_file,age,utterance,responder,response,overreg_past,overreg_plural,elan_coded
/content/drive/My Drive/childes/Eng-NA/Sachs/020909.xml,1014,yester morning I maked a tiger,MOT,you did,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,you getted the blister out,MOT,yeah I didn't take that one out did I,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,I writed a,MOT,well somebody in the store made that circle around that color honey,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/021112.xml,1078,somebody writed more,MOT,mhm,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/030327.xml,1214.25,and one two mean mans,FAT,two mean mans and one mean lady,FALSE,TRUE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/030507.xml,1255.25,and those are two baby mouses,MOT,mhm,FALSE,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Sachs/040728.xml,1702.5,I bented my belly,FAT,you did what,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Sachs/040728.xml,1702.5,I bented my belly,FAT,oh,TRUE,FALSE,TRUE
