source_file,age,utterance,responder,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/020510.xml,893,okay I founding the little mans,MOT,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/020707.xml,951,he um fly flying his he flyed his kite and it fell on the cow,MOT,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/020707.xml,951,it flyed,MOT,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040405.xml,1588,he stucked his hand in it he stucked his hand in it,MOT,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040718.xml,1692.5,I decided to in the crunchy socks,INV,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,so it's ate the whole log cabin too,MOT,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,poor hat um Abraham_Lincoln's ate house,MOT,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,I just wanna write Abraham_L ate house,MOT,0,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Matt/040921.xml,1756.5,aten house,MOT,0,0,,
