source_file,age,utterance,overreg_past,overreg_plural,start_time_minutes,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020413.xml,865.5,it falled fell out,TRUE,FALSE,22.2559,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020503.xml,886,all full filled upped up,FALSE,FALSE,16.7633,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020804.xml,978.5,it wa it was broked broken off,TRUE,FALSE,22.5452667,
/content/drive/My Drive/childes/Eng-NA/Weist/Ben/030221.xml,1177.75,he sleeped slept,TRUE,FALSE,20.00805,
